Country,Survey,PopClass,FoodexL1,Metrics,NrConsumers,PercConsumers,Mean,STD,P5,P10,Median,P95,P97,P99
Germany,National Nutrition Survey II,Elderly,Starchy roots and tubers,A.01.000467,"1,594",79.50,101.54,61.23,25,35,77.58,215.5,228,298.5
Germany,National Nutrition Survey II,Elderly,"Legumes, nuts and oilseeds",A.01.000486,478,23.80,40.25,49.51,2.9,4.5,25,140,213.5,260
Germany,National Nutrition Survey II,Elderly,Fruit and fruit products,A.01.000544,"1,905",95.00,247.05,181.89,20,47.25,208.9,588.2,695.95,790
Germany,National Nutrition Survey II,Elderly,Meat and meat products (including edible offal),A.01.000727,"1,893",94.40,104,72.91,15.9,26,90,244.2,286,343
Germany,National Nutrition Survey II,Elderly,"Fish and other seafood (including amphibians, rept",A.01.000876,613,30.60,70.85,52.43,7.5,13.5,56.7,167.5,209.15,242
Germany,National Nutrition Survey II,Elderly,Milk and dairy products,A.01.000948,"1,970",98.20,181.37,170.76,19.5,29.9,133.25,504.5,627.5,817.7
Germany,National Nutrition Survey II,Elderly,Eggs and egg products,A.01.001252,478,23.80,29.32,21.71,2.3,4.65,30,60,68.2,105
Germany,National Nutrition Survey II,Elderly,Sugar and confectionary,A.01.001267,"1,348",67.20,22.71,26.43,1.25,2.35,15,67.75,93.25,121.75
Germany,National Nutrition Survey II,Elderly,Animal and vegetable fats and oils,A.01.001346,"1,971",98.30,25.81,19.62,3.75,6.05,21.75,60.45,68.65,89.5
Germany,National Nutrition Survey II,Elderly,Fruit and vegetable juices,A.01.001394,921,45.90,304.66,315.96,40,75,200,962.5,"1,250.00","1,625.00"
Germany,National Nutrition Survey II,Elderly,Non-alcoholic beverages (excepting milk based beve,A.01.001470,"1,978",98.60,862.83,479.12,285,362.2,760,"1,775.00","2,070.00","2,400.00"
Germany,National Nutrition Survey II,Elderly,Alcoholic beverages,A.01.001534,"1,125",56.10,416.29,407.15,30,62.5,280,"1,280.00","1,560.00","1,910.00"
Germany,National Nutrition Survey II,Elderly,Drinking water (water without any additives except,A.01.001573,"1,823",90.90,918.41,660.34,100,200,775,"2,150.00","2,500.00","2,900.00"
Germany,National Nutrition Survey II,Elderly,"Herbs, spices and condiments",A.01.001580,"1,395",69.50,29.95,31.41,0.9,2.45,20,92.2,118.1,139.45
Germany,National Nutrition Survey II,Elderly,Products for special nutritional use,A.01.001748,16,0.80,47.29,71.87,2.5,8.5,32.33,300,300,300
Germany,National Nutrition Survey II,Elderly,Composite food (including frozen products),A.01.001789,"1,167",58.20,134.86,127.11,7,19.05,93.85,385,467.5,577.5
Germany,National Nutrition Survey II,Elderly,"Snacks, desserts, and other foods",A.01.001877,443,22.10,61.5,45.96,10,18,50,150,192.5,250
Germany,National Nutrition Survey II,Very elderly,Grains and grain-based products,A.01.000001,490,100.00,230.34,119.65,82.25,100,211.5,437.95,542.45,684.25
Germany,National Nutrition Survey II,Very elderly,Vegetables and vegetable products (including fungi,A.01.000317,461,94.10,118.59,93.95,17.65,30,95.55,273.5,341.75,435.85
Germany,National Nutrition Survey II,Very elderly,Starchy roots and tubers,A.01.000467,396,80.80,105.49,56.56,35,35.25,100.83,223.45,228,250
Germany,National Nutrition Survey II,Very elderly,"Legumes, nuts and oilseeds",A.01.000486,89,18.20,27.68,29.86,3.25,4.5,15,83.9,125,139.85
Germany,National Nutrition Survey II,Very elderly,Fruit and fruit products,A.01.000544,472,96.30,251.23,180.63,27.5,52.8,213.4,601.15,723.65,901.65
Germany,National Nutrition Survey II,Very elderly,Meat and meat products (including edible offal),A.01.000727,460,93.90,93.48,62.56,13,21,81.35,206.25,246.2,306.25
Germany,National Nutrition Survey II,Very elderly,"Fish and other seafood (including amphibians, rept",A.01.000876,156,31.80,67.54,47.19,11.25,18.75,57.7,149.5,199,218.25
Germany,National Nutrition Survey II,Very elderly,Milk and dairy products,A.01.000948,480,98.00,188.02,180.15,16.05,27.5,123.85,556.35,683.25,860
Germany,National Nutrition Survey II,Very elderly,Eggs and egg products,A.01.001252,108,22.00,30.31,21.65,1.55,3.2,30,60,87.85,90
Germany,National Nutrition Survey II,Very elderly,Sugar and confectionary,A.01.001267,353,72.00,19.82,19.2,1.3,2.2,14.5,58.5,75.5,89.8
Germany,National Nutrition Survey II,Very elderly,Animal and vegetable fats and oils,A.01.001346,481,98.20,28.43,19.26,5,8.05,24.35,62.75,76.85,93.5
Germany,National Nutrition Survey II,Very elderly,Fruit and vegetable juices,A.01.001394,229,46.70,264.77,303.4,16.65,50,175,825,"1,000.00","1,351.25"
Germany,National Nutrition Survey II,Very elderly,Non-alcoholic beverages (excepting milk based beve,A.01.001470,484,98.80,810.19,425.58,250,345,737.33,"1,650.00","1,780.00","2,015.00"
Germany,National Nutrition Survey II,Very elderly,Alcoholic beverages,A.01.001534,235,48.00,334.69,283.07,34.4,62.5,250,890.1,"1,125.00","1,305.00"
Germany,National Nutrition Survey II,Very elderly,Drinking water (water without any additives except,A.01.001573,456,93.10,798.88,567.98,93.75,125,700,"1,850.00","2,100.00","2,475.00"
Germany,National Nutrition Survey II,Very elderly,"Herbs, spices and condiments",A.01.001580,312,63.70,31.63,37.97,1.15,2.5,21.15,91,143,185.3
Germany,National Nutrition Survey II,Very elderly,Products for special nutritional use,A.01.001748,4,0.80,22.73,9.01,10,10,25,30.9,30.9,30.9
Germany,National Nutrition Survey II,Very elderly,Composite food (including frozen products),A.01.001789,317,64.70,147.39,139.61,6.8,18.5,110,385,459.4,643.55
Germany,National Nutrition Survey II,Very elderly,"Snacks, desserts, and other foods",A.01.001877,94,19.20,65.19,59,10,18,50,154.5,249.5,347.25
Denmark,The Danish National Dietary survey 2005-2008,Other children,Grains and grain-based products,A.01.000001,298,100.00,194.95,56.22,116.76,133.8,189.56,304.16,324.18,380.85
Denmark,The Danish National Dietary survey 2005-2008,Other children,Vegetables and vegetable products (including fungi,A.01.000317,298,100.00,138.06,87.03,34.64,43.2,122.07,309.92,399.96,435.46
Denmark,The Danish National Dietary survey 2005-2008,Other children,Starchy roots and tubers,A.01.000467,292,98.00,59.53,47.06,5.48,11.48,47.67,147.36,177.87,251.16
Denmark,The Danish National Dietary survey 2005-2008,Other children,"Legumes, nuts and oilseeds",A.01.000486,236,79.20,6.18,8.62,0.32,0.38,3.61,23.13,30.75,41.3
Denmark,The Danish National Dietary survey 2005-2008,Other children,Fruit and fruit products,A.01.000544,295,99.00,149.36,99.58,18.95,44.31,131.42,364.77,423.58,449.77
Denmark,The Danish National Dietary survey 2005-2008,Other children,Meat and meat products (including edible offal),A.01.000727,298,100.00,98.33,39.37,43.48,53.69,93.72,170.69,199.33,228.54
Denmark,The Danish National Dietary survey 2005-2008,Other children,"Fish and other seafood (including amphibians, rept",A.01.000876,242,81.20,15.62,13.39,0.82,2.14,11.43,41.57,49.83,53.35
Denmark,The Danish National Dietary survey 2005-2008,Other children,Milk and dairy products,A.01.000948,298,100.00,512.63,248.35,142.23,224.47,495.9,966.5,"1,057.70","1,322.45"
Denmark,The Danish National Dietary survey 2005-2008,Other children,Eggs and egg products,A.01.001252,297,99.70,13.49,11.02,1.79,2.71,9.98,36.34,41.94,50.67
Denmark,The Danish National Dietary survey 2005-2008,Other children,Sugar and confectionary,A.01.001267,298,100.00,38.36,20.59,10.17,14.39,33.95,77.92,85.91,107.29
Denmark,The Danish National Dietary survey 2005-2008,Other children,Animal and vegetable fats and oils,A.01.001346,298,100.00,28.49,13.16,10.77,14.67,26.16,54.86,59.6,65.92
Denmark,The Danish National Dietary survey 2005-2008,Other children,Fruit and vegetable juices,A.01.001394,286,96.00,91.33,101.05,1.8,3.69,55.81,272.69,326.63,514.29
Denmark,The Danish National Dietary survey 2005-2008,Other children,Non-alcoholic beverages (excepting milk based beve,A.01.001470,289,97.00,177.28,151.96,11.09,28.94,133.6,510.8,546.57,753.09
Denmark,The Danish National Dietary survey 2005-2008,Other children,Alcoholic beverages,A.01.001534,13,4.40,28.12,36.34,1.3,2.6,5.19,96.88,96.88,96.88
Denmark,The Danish National Dietary survey 2005-2008,Other children,Drinking water (water without any additives except,A.01.001573,298,100.00,615.23,374.04,147.5,208.02,553.75,"1,338.62","1,522.89","1,831.53"
Denmark,The Danish National Dietary survey 2005-2008,Other children,"Herbs, spices and condiments",A.01.001580,298,100.00,12.54,9.83,1.62,3,10.06,31.43,39.93,47.63
Denmark,The Danish National Dietary survey 2005-2008,Other children,Composite food (including frozen products),A.01.001789,12,4.00,10.1,11.11,0.84,1.4,2.81,30.69,30.69,30.69
Denmark,The Danish National Dietary survey 2005-2008,Other children,"Snacks, desserts, and other foods",A.01.001877,269,90.30,22.82,19.27,2.14,4.29,17.14,57.14,73.19,85.45
Denmark,The Danish National Dietary survey 2005-2008,Adolescents,Grains and grain-based products,A.01.000001,377,100.00,207.25,70.87,97.42,125.36,197.15,336.41,376.56,417.29
Denmark,The Danish National Dietary survey 2005-2008,Adolescents,Vegetables and vegetable products (including fungi,A.01.000317,377,100.00,139.62,91.63,31.76,49.15,118.67,322.76,358.2,453.04
Denmark,The Danish National Dietary survey 2005-2008,Adolescents,Starchy roots and tubers,A.01.000467,361,95.80,79.24,66.14,11.1,14.62,62.05,194.5,250.36,290.87
Denmark,The Danish National Dietary survey 2005-2008,Adolescents,"Legumes, nuts and oilseeds",A.01.000486,321,85.10,6.55,8.11,0.34,0.51,3.6,25.71,30,32.69
Denmark,The Danish National Dietary survey 2005-2008,Adolescents,Fruit and fruit products,A.01.000544,363,96.30,149.51,135.29,16.29,25.36,111.22,400.58,490.01,733.45
Denmark,The Danish National Dietary survey 2005-2008,Adolescents,Meat and meat products (including edible offal),A.01.000727,376,99.70,119.69,53.91,51.68,59.36,109.68,219.61,250.52,301.34
Denmark,The Danish National Dietary survey 2005-2008,Adolescents,"Fish and other seafood (including amphibians, rept",A.01.000876,313,83.00,14.82,15.92,0.75,2.04,10.86,49.05,59.4,68.4
Denmark,The Danish National Dietary survey 2005-2008,Adolescents,Milk and dairy products,A.01.000948,376,99.70,449.03,302.45,66.18,115.91,392.69,988.99,"1,178.23","1,508.93"
Denmark,The Danish National Dietary survey 2005-2008,Adolescents,Eggs and egg products,A.01.001252,372,98.70,12.79,13.16,1.51,2.52,9.49,33.09,39.18,55.99
Denmark,The Danish National Dietary survey 2005-2008,Adolescents,Sugar and confectionary,A.01.001267,373,98.90,41.73,31.08,5.99,10.86,34.68,95.99,124.26,168.67
Denmark,The Danish National Dietary survey 2005-2008,Adolescents,Animal and vegetable fats and oils,A.01.001346,377,100.00,26.29,15.03,7.15,9.22,23.17,55.16,64.35,76.01
Denmark,The Danish National Dietary survey 2005-2008,Adolescents,Fruit and vegetable juices,A.01.001394,343,91.00,121.81,136.9,2.46,4.46,82.06,363.63,496.7,746.57
Denmark,The Danish National Dietary survey 2005-2008,Adolescents,Non-alcoholic beverages (excepting milk based beve,A.01.001470,358,95.00,301.22,245.45,44.63,84.46,230.06,771.43,936.63,"1,364.34"
Denmark,The Danish National Dietary survey 2005-2008,Adolescents,Alcoholic beverages,A.01.001534,83,22.00,173.39,242.66,5.19,7.14,94.29,728.57,895.71,"1,202.60"
Denmark,The Danish National Dietary survey 2005-2008,Adolescents,Drinking water (water without any additives except,A.01.001573,376,99.70,770.03,478.32,155.19,250.43,684.8,"1,668.99","1,909.78","2,485.79"
Denmark,The Danish National Dietary survey 2005-2008,Adolescents,"Herbs, spices and condiments",A.01.001580,377,100.00,13.07,9.74,2.07,3.44,11.1,31.92,38.8,43.24
Denmark,The Danish National Dietary survey 2005-2008,Adolescents,Composite food (including frozen products),A.01.001789,16,4.20,13.85,18.07,0.84,1.4,3.92,56.57,56.57,56.57
Denmark,The Danish National Dietary survey 2005-2008,Adolescents,"Snacks, desserts, and other foods",A.01.001877,306,81.20,22.63,17.76,3.57,5,17.96,57.86,69.28,87.2
Denmark,The Danish National Dietary survey 2005-2008,Adults,Grains and grain-based products,A.01.000001,"1,739",100.00,208.9,81.38,92.19,114.55,198.66,356.16,388.52,435.04
Denmark,The Danish National Dietary survey 2005-2008,Adults,Vegetables and vegetable products (including fungi,A.01.000317,"1,739",100.00,169.86,106.47,46.87,63.36,147.14,367.58,464.85,548.07
Denmark,The Danish National Dietary survey 2005-2008,Adults,Starchy roots and tubers,A.01.000467,"1,705",98.00,94.36,73.47,5.36,15.89,79,237.53,281.67,347.99
Denmark,The Danish National Dietary survey 2005-2008,Adults,"Legumes, nuts and oilseeds",A.01.000486,"1,632",93.80,11.22,13.47,0.68,1.21,6.85,37.03,51.19,65.43
Denmark,The Danish National Dietary survey 2005-2008,Adults,Fruit and fruit products,A.01.000544,"1,712",98.40,199.52,155.68,12.87,29.2,168.05,485.93,585.26,740.56
Denmark,The Danish National Dietary survey 2005-2008,Adults,Meat and meat products (including edible offal),A.01.000727,"1,736",99.80,132.6,65.38,46.66,60.94,122.08,257.39,283.02,332.68
Denmark,The Danish National Dietary survey 2005-2008,Adults,"Fish and other seafood (including amphibians, rept",A.01.000876,"1,591",91.50,22.64,22.02,0.95,2.52,17.35,60.54,75.46,92.99
Denmark,The Danish National Dietary survey 2005-2008,Adults,Milk and dairy products,A.01.000948,"1,739",100.00,364.2,268.86,63.46,94.73,305.32,851.9,"1,001.08","1,211.19"
Denmark,The Danish National Dietary survey 2005-2008,Adults,Eggs and egg products,A.01.001252,"1,722",99.00,17.25,14.59,1.57,2.72,13.72,45.54,55.59,68.65
Denmark,The Danish National Dietary survey 2005-2008,Adults,Sugar and confectionary,A.01.001267,"1,710",98.30,34.98,28.21,3.79,6.78,28.35,89.36,105.4,130.8
Denmark,The Danish National Dietary survey 2005-2008,Adults,Animal and vegetable fats and oils,A.01.001346,"1,738",99.90,29.74,18.9,7.66,10.83,25.43,67.57,80.13,90.77
Denmark,The Danish National Dietary survey 2005-2008,Adults,Fruit and vegetable juices,A.01.001394,"1,417",81.50,97.67,120.88,0.71,1.43,52.86,339.86,411.64,527
Denmark,The Danish National Dietary survey 2005-2008,Adults,Non-alcoholic beverages (excepting milk based beve,A.01.001470,"1,733",99.70,961.82,542.63,203.26,320.91,885.71,"1,930.91","2,200.00","2,518.51"
Denmark,The Danish National Dietary survey 2005-2008,Adults,Alcoholic beverages,A.01.001534,"1,415",81.40,323.82,333.03,20,40,227.14,965.71,"1,237.14","1,650.00"
Denmark,The Danish National Dietary survey 2005-2008,Adults,Drinking water (water without any additives except,A.01.001573,"1,739",100.00,"1,064.72",714.86,139.72,243.87,955.47,"2,310.01","2,781.36","3,307.02"
Denmark,The Danish National Dietary survey 2005-2008,Adults,"Herbs, spices and condiments",A.01.001580,"1,739",100.00,12.65,10.52,1.86,2.77,9.9,34.09,39.14,47.52
Denmark,The Danish National Dietary survey 2005-2008,Adults,Composite food (including frozen products),A.01.001789,209,12.00,10.43,20.74,1.41,1.41,2.81,61.38,64.19,92.07
Denmark,The Danish National Dietary survey 2005-2008,Adults,"Snacks, desserts, and other foods",A.01.001877,"1,210",69.60,17.53,16.09,0.71,2.21,14.29,47.51,59.52,78.5
Denmark,The Danish National Dietary survey 2005-2008,Elderly,Grains and grain-based products,A.01.000001,274,100.00,194.38,74.82,85.32,107.79,184.13,339.19,372.28,418.47
Denmark,The Danish National Dietary survey 2005-2008,Elderly,Vegetables and vegetable products (including fungi,A.01.000317,274,100.00,129.4,96.1,34.86,52.64,111.72,278.21,313.38,413.69
Denmark,The Danish National Dietary survey 2005-2008,Elderly,Starchy roots and tubers,A.01.000467,271,98.90,130.7,71.52,22.76,48.24,120.78,267.5,315.47,341.17
Denmark,The Danish National Dietary survey 2005-2008,Elderly,"Legumes, nuts and oilseeds",A.01.000486,260,94.90,9.17,11.84,0.34,0.7,5.28,31.03,44.91,70.33
Denmark,The Danish National Dietary survey 2005-2008,Elderly,Fruit and fruit products,A.01.000544,268,97.80,216.77,155.35,15.68,46.77,196.13,507.13,652.35,776.02
Denmark,The Danish National Dietary survey 2005-2008,Elderly,Meat and meat products (including edible offal),A.01.000727,274,100.00,114.75,51.23,45.22,55.49,110.92,203.81,234.15,269.26
Denmark,The Danish National Dietary survey 2005-2008,Elderly,"Fish and other seafood (including amphibians, rept",A.01.000876,258,94.20,26.95,23.69,2.13,4.77,22.58,62.27,80.54,121.9
Denmark,The Danish National Dietary survey 2005-2008,Elderly,Milk and dairy products,A.01.000948,274,100.00,324.58,231.75,47.19,69.43,263.46,717.06,842.91,987
Denmark,The Danish National Dietary survey 2005-2008,Elderly,Eggs and egg products,A.01.001252,272,99.30,21,16.2,2.75,4.54,17.15,54.8,60.94,71.22
Denmark,The Danish National Dietary survey 2005-2008,Elderly,Sugar and confectionary,A.01.001267,271,98.90,31.17,28.45,2.14,5.79,23.89,88.9,114.37,166.45
Denmark,The Danish National Dietary survey 2005-2008,Elderly,Animal and vegetable fats and oils,A.01.001346,274,100.00,30.92,18.94,9.04,11.43,26.23,72.03,79,87.71
Denmark,The Danish National Dietary survey 2005-2008,Elderly,Fruit and vegetable juices,A.01.001394,215,78.50,96.28,110.39,0.43,1.23,51.43,312.49,411.43,462.96
Denmark,The Danish National Dietary survey 2005-2008,Elderly,Non-alcoholic beverages (excepting milk based beve,A.01.001470,274,100.00,942.05,477.62,314.29,457.14,837.53,"1,742.86","2,185.71","2,528.57"
Denmark,The Danish National Dietary survey 2005-2008,Elderly,Alcoholic beverages,A.01.001534,251,91.60,358.64,326.7,20,47.86,267.14,968.57,"1,137.14","1,518.57"
Denmark,The Danish National Dietary survey 2005-2008,Elderly,Drinking water (water without any additives except,A.01.001573,274,100.00,828.06,619.45,66.3,127.69,702.91,"1,960.87","2,608.01","2,992.29"
Denmark,The Danish National Dietary survey 2005-2008,Elderly,"Herbs, spices and condiments",A.01.001580,274,100.00,8.04,8.95,1.28,1.91,5.62,20.12,24.76,35.92
Denmark,The Danish National Dietary survey 2005-2008,Elderly,Composite food (including frozen products),A.01.001789,57,20.80,12.42,25.94,1.41,1.41,4.22,57.14,62.79,171.43
Denmark,The Danish National Dietary survey 2005-2008,Elderly,"Snacks, desserts, and other foods",A.01.001877,173,63.10,14.17,15.45,0.02,0.11,8.68,42.86,59.31,65.32
Denmark,The Danish National Dietary survey 2005-2008,Very elderly,Grains and grain-based products,A.01.000001,12,100.00,200.46,69.23,98.26,132.67,189.47,308.7,308.7,308.7
Denmark,The Danish National Dietary survey 2005-2008,Very elderly,Vegetables and vegetable products (including fungi,A.01.000317,12,100.00,147.34,108.33,44.06,75.94,123.77,469.23,469.23,469.23
Denmark,The Danish National Dietary survey 2005-2008,Very elderly,Starchy roots and tubers,A.01.000467,12,100.00,90.96,56.62,0.13,45.02,70.07,194.63,194.63,194.63
Denmark,The Danish National Dietary survey 2005-2008,Very elderly,"Legumes, nuts and oilseeds",A.01.000486,12,100.00,5.2,6.69,0.08,0.17,4.18,24.66,24.66,24.66
Denmark,The Danish National Dietary survey 2005-2008,Very elderly,Fruit and fruit products,A.01.000544,12,100.00,157.85,118.19,3.81,18.75,139.97,323.93,323.93,323.93
Denmark,The Danish National Dietary survey 2005-2008,Very elderly,Meat and meat products (including edible offal),A.01.000727,12,100.00,105.82,33.65,54.56,57.83,102.32,147.84,147.84,147.84
Denmark,The Danish National Dietary survey 2005-2008,Very elderly,"Fish and other seafood (including amphibians, rept",A.01.000876,12,100.00,38.51,32.94,0.46,2.29,27.45,97.84,97.84,97.84
Denmark,The Danish National Dietary survey 2005-2008,Very elderly,Milk and dairy products,A.01.000948,12,100.00,360.77,218.65,44.65,116.63,360.45,745.03,745.03,745.03
Denmark,The Danish National Dietary survey 2005-2008,Very elderly,Eggs and egg products,A.01.001252,12,100.00,22.68,13.15,6.79,10.53,20.53,52.16,52.16,52.16
Denmark,The Danish National Dietary survey 2005-2008,Very elderly,Sugar and confectionary,A.01.001267,12,100.00,35.06,19.61,5.27,12.29,31.21,77.03,77.03,77.03
Denmark,The Danish National Dietary survey 2005-2008,Very elderly,Animal and vegetable fats and oils,A.01.001346,12,100.00,31.08,14.18,9.49,17.44,28.99,54.6,54.6,54.6
Denmark,The Danish National Dietary survey 2005-2008,Very elderly,Fruit and vegetable juices,A.01.001394,7,58.30,129.39,94.49,0.71,0.71,184.91,231.86,231.86,231.86
Denmark,The Danish National Dietary survey 2005-2008,Very elderly,Non-alcoholic beverages (excepting milk based beve,A.01.001470,12,100.00,"1,025.44",463.97,375.51,485.71,894.09,"1,777.94","1,777.94","1,777.94"
Denmark,The Danish National Dietary survey 2005-2008,Very elderly,Alcoholic beverages,A.01.001534,11,91.70,414.49,491.81,62.86,80,241.43,"1,760.00","1,760.00","1,760.00"
Denmark,The Danish National Dietary survey 2005-2008,Very elderly,Drinking water (water without any additives except,A.01.001573,12,100.00,818.52,419.49,266.27,303.11,859.37,"1,510.61","1,510.61","1,510.61"
Denmark,The Danish National Dietary survey 2005-2008,Very elderly,"Herbs, spices and condiments",A.01.001580,12,100.00,5.28,2.51,1.36,1.54,5.43,9.94,9.94,9.94
Denmark,The Danish National Dietary survey 2005-2008,Very elderly,Composite food (including frozen products),A.01.001789,1,8.30,4.22,0,4.22,4.22,4.22,4.22,4.22,4.22
Denmark,The Danish National Dietary survey 2005-2008,Very elderly,"Snacks, desserts, and other foods",A.01.001877,6,50.00,20.79,20.29,0.06,0.06,14.83,57.14,57.14,57.14
Spain,Spanish Agency for Food Safety (AESAN) - FIAB Survey,Adolescents,Grains and grain-based products,A.01.000001,86,100.00,216.32,114.38,81.11,97.61,192.46,409.17,559.97,663.75
Spain,Spanish Agency for Food Safety (AESAN) - FIAB Survey,Adolescents,Vegetables and vegetable products (including fungi,A.01.000317,86,100.00,139.49,92.69,15.55,24.74,133.08,308.28,320.02,377.99
Spain,Spanish Agency for Food Safety (AESAN) - FIAB Survey,Adolescents,Starchy roots and tubers,A.01.000467,75,87.20,94.19,67.54,12,19.4,83.34,216.67,271.6,375.34
Spain,Spanish Agency for Food Safety (AESAN) - FIAB Survey,Adolescents,"Legumes, nuts and oilseeds",A.01.000486,60,69.80,36.18,29.18,2,5.92,27.78,87.03,94,122.22
Spain,Spanish Agency for Food Safety (AESAN) - FIAB Survey,Adolescents,Fruit and fruit products,A.01.000544,70,81.40,186.58,154.81,10,35.2,150.93,422.7,452,999.37
Spain,Spanish Agency for Food Safety (AESAN) - FIAB Survey,Adolescents,Meat and meat products (including edible offal),A.01.000727,85,98.80,204.4,95.96,56.86,85.5,204.28,361.7,424.5,486.85
Spain,Spanish Agency for Food Safety (AESAN) - FIAB Survey,Adolescents,"Fish and other seafood (including amphibians, rept",A.01.000876,66,76.70,60.23,49.08,5.56,11.6,47.79,138.67,169.85,288.9
Spain,Spanish Agency for Food Safety (AESAN) - FIAB Survey,Adolescents,Milk and dairy products,A.01.000948,86,100.00,395.22,213.95,90,125.63,393.12,815.83,871.89,975.71
Spain,Spanish Agency for Food Safety (AESAN) - FIAB Survey,Adolescents,Eggs and egg products,A.01.001252,77,89.50,28.75,21.13,2.38,3.02,26.1,65.25,78.3,106.58
Spain,Spanish Agency for Food Safety (AESAN) - FIAB Survey,Adolescents,Sugar and confectionary,A.01.001267,62,72.10,25.78,24.85,2.67,3.33,20,65.83,70,150
Spain,Spanish Agency for Food Safety (AESAN) - FIAB Survey,Adolescents,Animal and vegetable fats and oils,A.01.001346,86,100.00,34.46,17.66,11.67,13.89,32.74,64.58,74.59,84.92
Spain,Spanish Agency for Food Safety (AESAN) - FIAB Survey,Adolescents,Fruit and vegetable juices,A.01.001394,34,39.50,200.09,169.07,66.67,66.67,166.58,600,770,770
Spain,Spanish Agency for Food Safety (AESAN) - FIAB Survey,Adolescents,Non-alcoholic beverages (excepting milk based beve,A.01.001470,31,36.00,224.47,154.65,66.5,66.67,166.67,550,573.33,573.33
Spain,Spanish Agency for Food Safety (AESAN) - FIAB Survey,Adolescents,Alcoholic beverages,A.01.001534,32,37.20,61.74,152.09,3.13,4.17,8.86,312.5,799.5,799.5
Spain,Spanish Agency for Food Safety (AESAN) - FIAB Survey,Adolescents,Drinking water (water without any additives except,A.01.001573,82,95.30,571.2,512.5,38.89,72.22,400.7,"1,583.33","1,816.67","2,016.67"
Spain,Spanish Agency for Food Safety (AESAN) - FIAB Survey,Adolescents,"Herbs, spices and condiments",A.01.001580,84,97.70,7.52,11.09,0.22,0.44,4.88,22.6,33.34,84
Spain,Spanish Agency for Food Safety (AESAN) - FIAB Survey,Adolescents,Composite food (including frozen products),A.01.001789,13,15.10,114.38,177.7,0.33,10,75,666.67,666.67,666.67
Spain,Spanish Agency for Food Safety (AESAN) - FIAB Survey,Adolescents,"Snacks, desserts, and other foods",A.01.001877,36,41.90,67.89,44.61,10,20,55.42,175,210,210
Spain,Spanish Agency for Food Safety (AESAN) - FIAB Survey,Adults,Grains and grain-based products,A.01.000001,980,99.90,178.32,86.93,60.67,77.5,167.02,346.67,395.61,453.59
Spain,Spanish Agency for Food Safety (AESAN) - FIAB Survey,Adults,Vegetables and vegetable products (including fungi,A.01.000317,981,100.00,207.44,123.23,42.63,63.33,188.74,448.08,495.78,575.27
Spain,Spanish Agency for Food Safety (AESAN) - FIAB Survey,Adults,Starchy roots and tubers,A.01.000467,884,90.10,84.48,55.14,14.4,21.33,74.67,182.67,212,252
Spain,Spanish Agency for Food Safety (AESAN) - FIAB Survey,Adults,"Legumes, nuts and oilseeds",A.01.000486,700,71.40,38.29,32.42,4.17,8.33,27.78,91.67,116.67,154.41
Spain,Spanish Agency for Food Safety (AESAN) - FIAB Survey,Adults,Fruit and fruit products,A.01.000544,886,90.30,212.22,173.42,12.8,35.2,178.86,531.53,637,854.1
Spain,Spanish Agency for Food Safety (AESAN) - FIAB Survey,Adults,Meat and meat products (including edible offal),A.01.000727,979,99.80,179.9,88.47,53.94,72.43,174.43,329.05,381.23,456.25
Spain,Spanish Agency for Food Safety (AESAN) - FIAB Survey,Adults,"Fish and other seafood (including amphibians, rept",A.01.000876,885,90.20,83.44,60.06,16.07,23.33,70.13,197.75,235.52,302.72
Spain,Spanish Agency for Food Safety (AESAN) - FIAB Survey,Adults,Milk and dairy products,A.01.000948,973,99.20,380.82,202.39,100,158.33,350,733.33,858.33,985
Spain,Spanish Agency for Food Safety (AESAN) - FIAB Survey,Adults,Eggs and egg products,A.01.001252,875,89.20,32,21.18,4.26,8.7,28.2,72.5,79.62,95.7
Spain,Spanish Agency for Food Safety (AESAN) - FIAB Survey,Adults,Sugar and confectionary,A.01.001267,698,71.20,18.82,21.65,1.67,2.67,12,54.67,73.33,101.33
Spain,Spanish Agency for Food Safety (AESAN) - FIAB Survey,Adults,Animal and vegetable fats and oils,A.01.001346,981,100.00,39.31,16.67,16.56,20,37.34,70,77.92,86.94
Spain,Spanish Agency for Food Safety (AESAN) - FIAB Survey,Adults,Fruit and vegetable juices,A.01.001394,350,35.70,155.65,110.18,66.67,66.67,133.33,333.33,466.67,600
Spain,Spanish Agency for Food Safety (AESAN) - FIAB Survey,Adults,Non-alcoholic beverages (excepting milk based beve,A.01.001470,374,38.10,206.26,206.12,1.33,16.5,133.33,570,730,976.67
Spain,Spanish Agency for Food Safety (AESAN) - FIAB Survey,Adults,Alcoholic beverages,A.01.001534,621,63.30,125.38,169.38,3.06,4.17,61.39,483.33,616.67,719.72
Spain,Spanish Agency for Food Safety (AESAN) - FIAB Survey,Adults,Drinking water (water without any additives except,A.01.001573,955,97.30,562.2,545.9,50,75,355.56,"1,655.56","1,944.45","2,200.00"
Spain,Spanish Agency for Food Safety (AESAN) - FIAB Survey,Adults,"Herbs, spices and condiments",A.01.001580,970,98.90,8.15,9.82,0.52,1.05,5.43,24.84,35,47.17
Spain,Spanish Agency for Food Safety (AESAN) - FIAB Survey,Adults,Food for infants and small children,A.01.001715,1,0.10,8.33,0,8.33,8.33,8.33,8.33,8.33,8.33
